project_id,owner_id,user_id,Time_Create,Time_Meb0,Time_Meb1,Time_Cmt0,Time_Cmt1,project_language,Tech_lang,Project_Member,Project_Commit_Count,Project_Size,Open_Issues_Count,Forks,Watchers,Network_Count,Stargazers_Count,has_star_developer,Successful_Onboarding
11669634,288514,2797861,120,0,1174616,0,2102788,Python,6,101,3847,45010,23,23,123,68,130,1,1
11671036,2748160,74208,119,0,0,0,3799640,Ruby,1,56,81,,,,,,,1,0
11688174,5065778,1966,120,0,2519195,1201982,2097500,Python,3,10,4055,31650,80,80,99,49,30,1,1
11729886,367475,222144,119,0,0,221895,2784200,Ruby,2,28,30,494,3,3,6,3,19,1,0
11752806,1146,2971328,120,0,1133421,44670,3788974,PHP,1,6,137,37342,2,2,14,13,11,1,1
11763897,5107485,261101,119,0,0,71,2603908,JavaScript,1,15,182,429,188,188,13,14,4,1,1
11821702,3482326,65723,120,0,0,0,2097559,Java,1,13,1032,71778,18,18,25,48,33,1,1
11826225,3512595,115598,119,0,0,0,3578595,JavaScript,1,8,687,1799,2,2,4,10,11,1,1
11827987,32855,84106,120,0,2049076,473998,2095153,C#,1,20,2587,102131,5,5,123,412,51,1,0
11852107,5116511,1166926,120,0,1485432,44195,2612814,C++,1,35,682,275859,1,1,36,277,96,1,0
11878514,4512302,3244004,120,0,0,0,2580024,JavaScript,3,8,18,12702,1,1,1,3,10,1,0
12240439,688684,1593047,120,0,0,71475,2955635,JavaScript,1,12,4081,81668,83,83,65,261,33,1,1
1993558,1316279,1994387,59,0,0,372,2097156,C,1,25,8116,267943,407,407,726,742,146,1,0
12315416,29218,29382,120,0,0,16,2977019,JavaScript,24,72,31,,,,,,,1,0
12351182,1735568,217779,120,0,898978,0,3168583,Java,4,7,11,,,,,,,1,0
12380207,7037,56488,119,0,630323,1015,2094080,JavaScript,7,182,154,1593,69,69,132,499,447,1,1
12400580,435328,1242156,119,0,0,42563,2117302,C++,1,11,437,2558,9,9,64,138,30,1,0
12447244,5584724,5584727,120,0,859,702,3740243,C#,1,6,136,676,4,4,0,4,6,1,1
12477200,4066,789013,120,0,0,23223,2107199,Ruby,5,284,931,946,40,40,66,1078,318,1,0
2640548,3761,49779,120,0,0,144047,2096489,PHP,2,28,16729,61731,21,21,214,160,46,1,1
2640548,3761,115336,120,0,0,144047,2096489,PHP,1,28,16729,61731,21,21,214,160,46,1,1
2700357,1576068,1888397,59,0,0,315285,3540160,C#,1,19,5788,,,,,,,1,0
2984899,367480,116574,798917,565201,0,628483,4122317,Ruby,3,7,671,3997,49,49,20,22,10,1,0
3391394,199977,102060,114,0,1,3,4291033,Ruby,1,6,3,135,0,0,4,7,6,1,0
3486982,18133,89889,59,0,1387922,8357,2095666,JavaScript,1,57,3810,7238,3,3,14,26,65,1,1
3595845,274278,3098001,120,0,0,13,2101941,Python,1,11,1610,9621,20,20,11,10,40,1,0
3912921,1744321,1252217,102403,0,2367434,102463,2097915,Java,1,8,2516,88486,109,109,17,12,9,1,1
3929178,288514,207395,119,0,1726250,745844,2095663,Python,4,121,152441,1639597,289,289,3234,5963,419,1,1
3929178,288514,1488621,119,0,1726250,745844,2095663,Python,4,121,152441,1639597,289,289,3234,5963,419,1,1
4044023,911513,2100242,33,0,2974,77,4616301,Java,1,6,129,8526,0,0,0,4,7,1,1
